#파트너 번호	파트너명	동명	네이버 코드
1	반가	역삼동	21311250
3	화전민	신사동	11707191
4	매운대(홍대점)	서교동	31148655
6	리우브라질	서교동	33875602
8	파쿠모리	서교동	35263520
9	스윗쏭	서교동	35787781
10	더 더그아웃	상수동	35445213
12	빤닭빤닭	상수동	36192932
13	계모임	서교동	35701609
14	달리	서교동	33211245
15	소울	서교동	33186258
16	오븐에빠진닭(신촌)	창천동	19459607
17	카페더밸런스	역삼동	21567835
18	탐탐오향족발	동교동	32745694
20	사랑전술	서교동	36342877
21	락꼬꼬(역삼)	역삼동	31607699
22	형제회관	대치동	18576400
23	아라섬	대치동	20858525
24	샤오훼이양	서교동	13006581
25	벌떼치킨	동교동	13153209
26	쿠바왕	서교동	19579192
27	와플몬스터	서교동	35976960
29	요리사와구두쟁이	서교동	34347162
31	달빛살롱	서교동	19952390
32	아지트아이슬란드	상수동	35874289
33	에이브릭	서교동	36648417
35	이화안동찜닭	대현동	13155344
36	별이빛나는밤에(별밤)	서초동	30924857
37	실신떡볶이	역삼동	35202213
39	스시준 신촌점	창천동	19856258
40	쿠바나	역삼동	36170824
41	커피 더 맨 신사역점	잠원동	36090691
42	보리스와플	역삼동	34490729
45	함지박(신촌점)	창천동	35840084
46	온어스틱	신사동	36266094
47	멜로우	서교동	19862370
48	안동찜닭	창천동	18779890
49	일식 신지	창천동	18241708
50	왓츠피데	서교동	34723506
52	미도참치	창천동	31487813
53	한라산	논현동	36630609
55	JOKER	창천동	36444640
56	아뜰리에데코아발림	서교동	21728200
57	청자골	대치동	13151370
58	돈까스의맛/공수간	서교동	31420152
59	왕가네왕만두	대치동	18577688
60	오키드플라워	대치동	35609544
61	제임스치즈등갈비	동교동	35559954
62	AZOTO	서교동	34907371
63	미토테로	서교동	36620273
64	메이드바이오즈	서교동	36547222
65	미스엔불닭발	동교동	31707503
66	산더미불고기	서교동	31558719
67	전봇대통골뱅이	서교동	35637241
68	와키수	반포동	13151247
69	옹다래찜닭,디저트	서교동	35940377
70	애쉬앤블룸	서교동	34761843
71	901W	논현동	35307767
72	맘모스	창천동	31238021
73	박장대소마을	서초동	12928949
74	자연담은치킨	창천동	20070756
75	RABBBTLounge	서교동	36399699
77	원더그라운드	서초동	19777289
78	꼬꼬시티	창천동	35927837
79	천상	서교동	13288549
80	빙고	서교동	35787718
81	maad	창천동	31919287
82	신미불닭발	창천동	19882260
83	상수동 맑음	상수동	35288456
84	제라진	서교동	36285973
85	감래등	대치동	36333322
86	홍대코노미	서교동	30815324
87	우왕우	서교동	36476036
88	오너쉐프	서교동	35258294
89	부케(bouqtet)	서교동	35553881
91	에반스빌	상수동	31083094
92	쭌곱창	서교동	35586686
93	리안플라워	창천동	20371788
94	해신포차	창천동	31148641
95	청담동포장마차콩나물국밥	창천동	11569733
96	초밥집 다이고미	서교동	36547265
97	얌얌닭발	논현동	18499608
98	호아빈(강남역점)	역삼동	34806967
100	이물도사람들	역삼동	36520477
101	갈비씨(홍대점)	서교동	35658082
102	일식포차 다이고미	서교동	31044775
103	보드놀이터(홍대입구점)	서교동	36420511
104	도누리 오빠곱창	서교동	36358172
105	홍구삼겹	서교동	30808648
106	캠프노래타운	서교동	35372789
107	행복을 굽는 진짜고깃집	창천동	35958048
109	면식가	서교동	31186898
110	러브스토리	창천동	13575447
113	산오징어양푼무침	서교동	36410568
114	젠틀서퍼	서교동	34994408
115	홍초불닭	역삼동	11808048
116	스타닭갈비	역삼동	20724834
117	황금복국	서초동	36350784
118	버벅이네(강남본점)	역삼동	35848806
119	왕두꺼비 부대찌개	역삼동	19978447
120	까사호벤	서초동	19375355
122	부비부비	역삼동	31139654
123	하와이새우트럭	역삼동	36459369
124	투닷	서교동	33040328
125	토라비	서교동	13493492
126	히라히라	역삼동	34105038
127	마구로젠(신사점)	신사동	19885937
128	겐로쿠우동(강남역점)	서초동	21723328
129	장수족발	서초동	13152095
131	수상한포차(강남역점)	서초동	32848580
132	모랑(신논현점)	서초동	31558688
134	일번지생고기전문점	대치동	21884460
135	장수순대국감자탕	대치동	20070968
136	헤르젠	서초동	11633577
137	화덕존	서초동	34016468
138	더 주막	대치동	35849278
139	고르드	창천동	35563009
140	홈런치킨	대치동	32302061
141	신의주부대찌개(선릉점)	역삼동	18591768
145	엘파소블러바드	대치동	36298951
146	대포차(선릉점)	대치동	36469769
147	수프앤베이글(역삼점)	역삼동	20614739
150	퀸즈가든	서초동	36860188
151	고고곱창	반포동	35977933
152	더달달	역삼동	21082407
153	삿포로라운지	서초동	35111919
154	모퉁이	대치동	35664073
155	뉴코피커피	역삼동	32848419
156	커피갤러리	역삼동	13542148
158	장금이전집	충무로2가	36342862
159	Site64	대치동	35003365
160	가장맛있는족발	대치동	33252694
