#id	name_ko	lastname_ko	firstname_ko	realname_ko	name_en	lastname_en	firstname1_en	firstname2_en	name_ja	lastname_ja	firstname_ja	category	type	job	affiliated_group	company	debut	named_entity_pattern	filter_pattern	twitter_collect_query	youtube_account_collect_yn	twitter_account_collect_yn	twitter_account_mention_collect_yn	youtube_account	twitter_account	facebook_account	googleplus_account	me2day_account	use_yn	register_date	update_date
bigbang	빅뱅				BIGBANG							music	group	singer		ygent	20060829	[Bb][Ii][Gg][\s]*[Bb][Aa][Nn][Gg]		bigbang, big bang	1			BIGBANG					1		
gd_and_top	GD&TOP				GD&TOP							music	group	singer		ygent	20101224	<t:artist_en_name>		gd&top, gd & top									1		
bb_gdragon	G-드래곤			권지용	G-Dragon							music	person	singer	bigbang, gd_and_top	ygent	20060829	<t:artist_en_name_firstUpper>										g-dragon	1		
bb_taeyang	태양			동영배	Taeyang		TAE	YANG				music	person	singer	bigbang	ygent	20060829	<t:artist_en_firstname_firstUpper>, \bSOL\b			1	1	1	ygtaeyang	Realtaeyang	TAEYANG		solofbb	1		
bb_top	T.O.P			최승현	T.O.P							music	person	singer	bigbang, gd_and_top	ygent	20060829	<t:artist_en_name_allUpper>										topofbb	1		
bb_daesung	대성			강대성	Daesung		DAE	SUNG				music	person	singer	bigbang	ygent	20060829	<t:artist_en_firstname_firstUpper>, \bD-[Ll][Ii][Tt][Ee]\b										bbdaesung	1		
bb_seungri	승리			이승현	Seungri		SEUNG	RI				music	person	singer	bigbang	ygent	20060829	<t:artist_en_firstname_firstUpper>, \bV\.I\b										viofbb	1		
2ne1	투애니원				2NE1							music	group	singer		ygent	20090327	<t:artist_en_name>		2ne1	1			2ne1		2NE1			1		
cl_and_minzy	CL&MINZY				CL&MINZY							music	group	singer		ygent	20091120	<t:artist_en_name_firstUpper>		cl&minzy, cl & minzy									1		
2ne1_minzy	공민지	공	민지		Minzy	KONG	MIN	ZY				music	person	singer	2ne1, cl_and_minzy	ygent	20090327	<t:artist_en_optional_fullname_firstUpper>										21minzy	1		
2ne1_cl	씨엘			이채린	CL							music	person	singer	2ne1, cl_and_minzy	ygent	20090327	<t:artist_en_name_allUpper>											1		
2ne1_parksandara	산다라	박	산다라	박산다라	Sandara	PARK	SANDARA					music	person	singer	2ne1	ygent	20090327	\b(P[Aa][Rr][Kk][\s\.]*)*S[Aa][Nn][Dd][Rr][Aa][\s\.]*(P[Aa][Rr][Kk])*\b										21dara	1		
2ne1_parkbom	박봄	박	봄		Park Bom	PARK	BOM					music	person	singer	2ne1	ygent	20090327	\b(P[Aa][Rr][Kk][\s\.]*)*B[Oo][Mm]\b				1	1		haroobomkum			21bom	1		
psy	싸이			박재상	PSY							music	person	singer		ygent	20010108	<t:artist_en_name_firstUpper>		yg AND psy	1			officialpsy		officialpsy		psyfive	1		
se7en	쎄븐			최동욱	SE7EN							music	person	singer		ygent	20030308	<t:artist_en_name_firstUpper>		yg AND se7en	1	1	1	officialse7en	se7enyg			se7enyg	1		
gummy	거미			박지연	Gummy							music	person	singer		ygent	200302	<t:artist_en_name_firstUpper>		yg AND gummy								030201	1		
tablo	타블로			이선웅	Tablo							music	person	singer		ygent	20031023	<t:artist_en_name_firstUpper>		tablo	1	1	1	ygtablo	blobyblo	ygtablo			1		
snsd	소녀시대				Girls' Generation							music	group	singer		sment	20070805	\bSNSD\b, \bG[Ii][Rr][Ll][Ss]['-]*[Gg][Ee][Nn][Ee][Rr][Aa][Tt][Ii][Oo][Nn]\b, 少女時代		girlsgeneration, girls generation, snsd, 少女時代						girlsgeneration			1		
taetiseo	태티서				Girls' Generation-TTS							music	group	singer		sment	20120503	\bTTS\b, \bT[Aa][Ee][Tt][Ii][Ss][Ee][Oo]\b, \bG[Ii][Rr][Ll][Ss]['-]*[Gg][Ee][Nn][Ee][Rr][Aa][Tt][Ii][Oo][Nn][-\s]*[Tt][Tt][Ss]\b		girlsgeneration tts, taetiseo, girls generation-tts									1		
snsd_yoona	윤아			임윤아	Yoona		YOON	A	ユナ			music, drama	person	singer, actor	snsd	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
snsd_sooyoung	수영			최수영	Sooyoung		SOO	YOUNG	スヨン			music	person	singer	snsd	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
snsd_hyoyeon	효연			김효연	Hyoyeon		HYO	YEON	ヒョヨン			music	person	singer	snsd	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
snsd_yuri	유리			권유리	Yuri		YU	RI	ユリ			music, drama	person	singer, actor	snsd	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
snsd_taeyeon	태연			김태연	Taeyeon		TAE	YEON	テヨン			music	person	singer	snsd, taetiseo	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
snsd_jessica	제시카			정수연	Jessica		JESSICA		ジェシカ			music, drama	person	singer, actor	snsd	sment	20070805	<t:artist_en_name_firstUpper>, <t:artist_ja_name>											1		
snsd_tiffany	티파니			스테파니 황	Tiffany		TIFFANY		ティファニー			music	person	singer	snsd, taetiseo	sment	20070805	<t:artist_en_name_firstUpper>, <t:artist_ja_name>											1		
snsd_sunny	써니			이순규	Sunny		SUNNY		サニー			music	person	singer	snsd	sment	20070805	<t:artist_en_name_firstUpper>, <t:artist_ja_name>											1		
snsd_seohyun	서현			서주현	Seohyun		SEO	HYUN	ソヒョン			music, drama	person	singer, actor	snsd, taetiseo	sment	20070805	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
superjunior	슈퍼쥬니어				Super Junior							music	group	singer		sment	20051106	<t:artist_en_name_firstUpper>		superjunior, super junior						superjunior			1		
donghae_and_eunhyuk	동해&은혁				DONGHAE&EUNHYUK							music	group	singer		sment	20111216	<t:artist_en_name>		donghae&eunhyuk, donghae & eunhyuk									1		
suju_leeteuk	이특			박정수	Leeteuk		LEE	TEUK	イトゥク			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		special1004				1		
suju_heechul	희철	김	희철	김희철	Heechul	KIM	HEE	CHUL	ヒチョル			music,drama	person	singer, actor	superjunior	sment	20051106	<t:artist_en_optional_fullname_firstUpper>, <t:artist_ja_name>				1	1		Heedictator				1		
suju_yesung	예성			김종운	Yesung		YE	SUNG	イェソン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		shfly3424				1		
suju_kangin	강인			김영운	Kangin		KANG	IN	カンイン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
suju_shindong	신동			신동희	Shindong		SHIN	DONG	シンドン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		ShinsFriends			siasiagay	1		
suju_sungmin	성민			이성민	Sungmin		SUNG	MIN	ソンミン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
suju_eunhyuk	은혁			이혁재	Eunhyuk		EUN	HYUK	ウニョク			music	person	singer	superjunior, donghae_and_eunhyuk	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		AllRiseSilver				1		
suju_donghae	동해			이동해	Donghae		DONG	HAE	ドンヘ			music	person	singer	superjunior, donghae_and_eunhyuk	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		donghae861015				1		
suju_siwon	시원			최시원	Siwon		SI	WON	シウォン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		siwon407				1		
suju_ryeowook	려욱			김려욱	Ryeowook		RYEO	WOOK	リョウク			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		ryeong9				1		
suju_gibum	기범			김기범	Gibum		GI	BUM	キボム			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>				1	1		ikmubmik				1		
suju_kyuhyun	규현			조규현	Kyuhyun		KYU	HYUN	キュヒョン			music	person	singer	superjunior, smtheballad	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>											1		
suju_hangeng	한경			韓庚	Hangeng		HAN	GENG	ハンギョン			music	person	singer	superjunior	sment	20051106	<t:artist_en_firstname_firstUpper>, <t:artist_ja_name>, 韓庚											1		
tvxq	TVXQ			동방신기	TVXQ				東方神起			music	group	singer		sment	20031226	<t:artist_en_name_firstUpper>, <t:artist_ja_name>		tvxq, 東方神起									1		
jyj	JYJ				JYJ							music	group	singer		cjesent	20101223	<t:artist_en_name_allUpper>		jyj						CJESJYJ			1		
tvxq_uknowyoonho	유노윤호	유노	윤호	정윤호	U-Know	UKNOW	YOON	HO				music	person	singer	tvxq	sment	20031226	\bU[-]*K[Nn][Oo][Ww]\b, <t:artist_en_optional_fullname_firstUpper>											1		
tvxq_choigangchangmin	최강창민	최강	창민	심창민	Max	CHOIGANG	CHANG	MIN				music	person	singer	tvxq	sment	20031226	<t:artist_en_optional_fullname_firstUpper>											1		
jyj_herojaejoong	김재중	김	재중	김재중	Kim Jae Joong	KIM	JAE	JOONG	ジェジュン			music	person	singer	jyj	sment	20031226	<t:artist_en_optional_fullname_firstUpper>, <t:artist_ja_name>				1	1		mjjeje				1		
jyj_mickyyouchon	박유천	박	유천	박유천	Park You Chon	PARK	YOU	CHON	ユチョン			music	person	singer	jyj	sment	20031226	<t:artist_en_optional_fullname_firstUpper>, <t:artist_ja_name>				1	1		6002theMicky				1		
jyj_xiahjunsoo	김준수	김	준수	김준수	Kim Jun Soo	KIM	JUN	SOO	ジュンス			music	person	singer	jyj	sment	20031226	<t:artist_en_optional_fullname_firstUpper>, <t:artist_ja_name>				1	1		1215thexiahtic				1		
trax	트랙스				TRAX							music	group	singer		sment	20040717	<t:artist_en_name_allUpper>		sm AND trax, jay AND trax, jungmo AND trax									1		
trax_jay	제이			김영덕	Jay							music	person	singer	trax, smtheballad	sment	20040717	<t:artist_en_name_firstUpper>											1		
trax_jungmo	정모			김정모	Jungmo		JUNG	MO				music	person	singer	trax	sment	20040717	<t:artist_en_firstname_firstUpper>											1		
thegrace	천상지희 더 그레이스				The Grace				天上智喜			music	group	singer		sment	20050430	\bT[Hh][Ee][\s]*G[Rr][Aa][Cc][Ee]\b, 天上智喜		thegrace, the grace, 天上智喜									1		
thegrace_dana_and_sunday	천상지희 다나&선데이				The Grace Dana&Sunday							music	group	singer		sment	20110708	\bT[Hh][Ee][\s]*[Gg][Rr][Aa][Cc][Ee][\s]*[Dd][Aa][Nn][Aa][\s]*&[\s]*[Ss][Uu][Nn][Dd][Aa][Yy]\b, D[Aa][Nn][Aa][\s]*&[\s]*[Ss][Uu][Nn][Dd][Aa][Yy]\b		thegracedanasunday, the grace dana&sunday, dana&sunday, dana & sunday									1		
thegrace_stephanie	스테파니			김보경	Stephanie							music	person	singer	thegrace	sment	20050430	<t:artist_en_name_firstUpper>				1	1		stephk1016				1		
thegrace_lina	린아			이지연	Lina							music	person	singer	thegrace	sment	20050430	<t:artist_en_name_firstUpper>											1		
thegrace_dana	다나			홍성미	Dana							music	person	singer	thegrace, thegrace_dana_and_Sunday	sment	20050430	<t:artist_en_name_firstUpper>				1	1		melodana				1		
thegrace_sunday	선데이			진서윤	Sunday							music	person	singer	thegrace, thegrace_dana_and_sundayb	sment	20050430	<t:artist_en_name_firstUpper>	<t:artist_filter>			1	1		sunday040728				1		
shinee	샤이니				SHINee							music	group	singer		sment	20080525	<t:artist_en_name_firstUpper>		shinee						shinee		shineeshinee	1		
shinee_onew	온유			이진기	Onew							music	person	singer	shinee	sment	20080525	<t:artist_en_name_firstUpper>										shinee_onew	1		
shinee_jonghyun	종현			김종현	Jonghyun		JONG	HYUN				music	person	singer	shinee, smtheballad	sment	20080525	<t:artist_en_firstname_firstUpper>				1	1		realjonghyun90				1		
shinee_key	키			김기범	Key							music	person	singer	shinee	sment	20080525	<t:artist_en_name_firstUpper>	<t:artist_filter>										1		
shinee_minho	민호			최민호	Minho		MIN	HO				music	person	singer	shinee	sment	20080525	<t:artist_en_firstname_firstUpper>											1		
shinee_taemin	태민			이태민	Taemin		TAE	MIN				music	person	singer	shinee	sment	20080525	<t:artist_en_firstname_firstUpper>											1		
fx	에프엑스			에프엑스	f(x)							music	group	singer		sment	20090905	<t:artist_en_name>		sm AND f(x), victoria AND f(x), amber AND f(x), lunna AND f(x), sulli AND f(x), krystal AND f(x)						fx.smtown			1		
fx_victoria	빅토리아				Victoria				ビクトリア			music	person	singer	fx	sment	20090905	<t:artist_en_name_firstUpper>, <t:artist_ja_name>										fx_victoria	1		
fx_amber	엠버				Amber				アンバー			music	person	singer	fx	sment	20090905	<t:artist_en_name_firstUpper>, <t:artist_ja_name>										fx_amber	1		
fx_lunna	루나				Lunna				ルナ			music	person	singer	fx	sment	20090905	<t:artist_en_name_firstUpper>, <t:artist_ja_name>										fx_luna	1		
fx_sulli	설리			최진리	Sulli				ソルリ			music	person	singer	fx	sment	20090905	<t:artist_en_name_firstUpper>, <t:artist_ja_name>										fx_sulli	1		
fx_krystal	크리스탈			정수정	Krystal				クリスタル			music	person	singer	fx	sment	20090905	<t:artist_en_name_firstUpper>, <t:artist_ja_name>										fx_krystal	1		
smtheballad	S.M. The Ballad			에스엠 더 발라드	S.M. The Ballad							music	group	singer		sment	20101128	<t:artist_en_name_firstUpper>		smtheballad, s.m. the ballad									1		
smtheballad_jino	지노				Jino							music	person	singer	smtheballad	sment	20101120	<t:artist_en_name_firstUpper>											1		
exok	EXO-K				EXO-K							music	group	singer		sment	20120408	\b[Ee][Xx][Oo]-[Kk]\b		sm AND exo-k, sm AND exok						exok			1		
exok_suho	수호				Suho		SU	HO				music	person	singer	exok	sment	20120408	<t:artist_en_firstname_firstUpper>											1		
exok_baekhyun	백현				Baekhyun		BAEK	HYUN				music	person	singer	exok	sment	20120408	<t:artist_en_firstname_firstUpper>											1		
exok_chanyeol	찬열				Chanyeol		CHAN	YEOL				music	person	singer	exok	sment	20120408	<t:artist_en_firstname_firstUpper>											1		
exok_do	디오				DO							music	person	singer	exok	sment	20120408	\bD[\.]O[\.]\b											1		
exok_kai	카이				Kai							music	person	singer	exok	sment	20120408	<t:artist_en_name_firstUpper>											1		
exok_sehun	세훈				Sehun		SE	HUN				music	person	singer	exok	sment	20120408	<t:artist_en_firstname_firstUpper>											1		
exom	EXO-M				EXO-M							music	group	singer		sment	20120408	\b[Ee][Xx][Oo]-[Mm]\b		sm AND exo-m, sm AND exom						exom			1		
exom_xiumin	시우민				Xiumin							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
exom_luhan	루한				Luhan							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
exom_kris	크리스				Kris							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
exom_lay	레이				Lay							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
exom_chen	첸				Chen							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
exom_tao	타오				Tao							music	person	singer	exom	sment	20120408	<t:artist_en_name_firstUpper>											1		
boa	보아			권보아	BoA							music	person	singer		sment	20000827	<t:artist_en_name_firstUpper>		sm AND boa		1	1		boakwon				1		
kangta	강타			안칠현	Kangta							music	person	singer		sment	19960907	<t:artist_en_name_firstUpper>		kangta		1	1		kangta_ktvckt			kangta_ktvckt	1		
zhangliyin	장리인				Zhang Li Yin	ZHANG	LI	YIN	張力尹			music	person	singer		sment	20060909	<t:artist_en_fullname_firstUpper>, 張力尹		zhangliyin, zhang li yin, 張力尹									1		
wondergirls	원더걸스				Wonder Girls							music	group	singer		jypent	200702	<t:artist_en_name_firstUpper>		wondergirls	1	1	1	wondergirls	wondergirls	wondergirlsworld			1		
